Relative Pressure (p/p°)	Quantity Adsorbed (cm³/g STP)
0.0102279121319916	230.294489514788
0.0209296816438039	240.219466186327
0.0288132566520336	244.421255582363
0.0434233695052735	249.423345908323
0.054138452014422	251.915016711607
0.0605552138856368	253.076811736473
0.0705460939181363	254.609038902491
0.0808538601289053	255.932114714374
0.091257949122018	257.053556112231
0.10136159637174	257.999981771388
0.147700835706607	261.32228660031
0.203587441149784	264.227048101225
0.25428154849293	266.321908088665
0.304361710111033	268.008058874796
0.353378213335099	269.315159389181
0.400901164230104	270.273608129972
0.451294216876125	271.025483620649
0.501162564600871	271.579217713439
0.551079627129415	272.006703438956
0.601291229379236	272.36
0.651554131591342	272.615971738943
0.702108080286548	272.847413005565
0.752332896864383	273.043087404631
0.80236332560206	273.214113410834
0.852539181046134	273.375949389629
0.902585552500093	273.585150320579
0.952578997373094	274.050396601145
0.990889182745611	275.87731292473
0.995886860126538	277.246385857418
0.998574219413858	278.741787757822
0.998574219413858	278.741787757822
0.980343844735747	275.519867868207
0.933103067637581	274.157479548518
0.88187766352614	273.797336720968
0.849611952667127	273.660110921762
0.797849756489171	273.520299612995
0.748084203438771	273.369490229011
0.698393103682687	273.224360119418
0.648485887054353	273.032666655942
0.59855677953894	272.810178526806
0.548206080244466	272.511196132473
0.498290002055558	272.11375330244
0.44886535607288	271.248009167106
0.398179293244011	270.275141842855
0.348929491111733	269.177643867767
0.299146194708313	267.854882170966
0.249398749184655	266.180374597663
0.199295526166287	264.216103317608
0.155701311591892	262.038601202399
0.100392427533476	258.291684249595
