1.096	0.04913
1.144	0.04578
1.193	0.04441
1.245	0.03889
1.299	0.03045
1.356	0.01846
1.416	0.00677
1.478	0
1.543	0
1.611	0
1.682	0
1.756	0
1.834	0
1.915	0
2	0
2.1206	0
2.1948	0
2.2717	0
2.3512	0
2.4335	0
2.5186	0
2.6068	0
2.698	0
2.7925	0
2.8902	0
2.9914	0
3.0961	0
3.2044	0.00832
3.3166	0.0236
3.4326	0.04173
3.5528	0.05989
3.6771	0.07933
3.8058	0.10372
3.939	0.13565
4.0769	0.17574
4.2196	0.219
4.3673	0.25567
4.5201	0.27234
4.6784	0.25931
4.8421	0.21826
5.0116	0.16162
5.187	0.10495
5.369	0.0616
5.556	0.03573
5.751	0.02346
5.952	0.01984
6.16	0.01937
6.376	0.01936
6.599	0.01942
6.83	0.01946
7.069	0.01926
7.317	0.01864
7.573	0.01819
7.8379	0.01777
8.1122	0.0169
8.3961	0.01554
8.69	0.01415
8.9941	0.0132
9.3089	0.01271
9.6347	0.01222
9.972	0.01139
10.321	0.01041
10.682	0.00951
11.056	0.00876
11.443	0.00822
11.8436	0.00762
12.2581	0.00677
12.6871	0.0059
13.1312	0.00528
13.5908	0.0048
14.0664	0.0044
14.5588	0.0041
15.0683	0.00397
15.5957	0.0039
16.1416	0.00383
16.7065	0.00369
17.2912	0.00344
17.8964	0.00307
18.5228	0.00267
19.1711	0.00235
19.8421	0.00222
20.5366	0.00207
21.2553	0.00181
21.9993	0.00167
22.7693	0.00149
23.5662	0.00113
24.391	8.9255E-4
25.2447	0.00122
26.1282	0.0023
27.0427	0.00335
27.9892	0.00354
28.9689	0.00301
29.9828	0.00241
31.0322	0.00245
32.1183	0.00311
33.2424	0.00316
