Relative Pressure (p/p°)	Quantity Adsorbed (cm³/g STP)
0.010316862729006	72.4796725050533
0.0215705855075117	82.809585249473
0.0320079242335473	87.4247813124655
0.0439661334099669	91.323323081991
0.0495166732832901	93.0898410574002
0.0603391324876499	95.8178942063788
0.0695721662174379	97.9925897036854
0.080062255859375	100.194648509935
0.0898385700005791	102.20535037633
0.100084228515625	104.189338086646
0.147849539697729	112.035924770923
0.200339680132848	120.212077542744
0.250809189213324	128.2958525675
0.30116227599867	137.080643284097
0.35091360676444	147.382352007317
0.400600663911651	160.662276124286
0.449868844366441	179.429679089752
0.500382550445793	206.86596986599
0.556226468288467	233.665529479961
0.605258777453888	244.580146793735
0.647430958339348	250.120577278773
0.700166798863123	256.520864659187
0.751604725692379	263.706516054611
0.802388124128452	271.867384744551
0.85273421041984	280.581317414435
0.902547676564679	289.28333462727
0.952252493790842	299.001054252542
0.987825406719291	316.85597832564
0.994819851806148	333.434007255473
0.996570546201282	358.281333852817
0.996570546201282	358.281333852817
0.988169791920415	335.577109985187
0.94495912046098	309.293229399319
0.886213067976811	299.897992025152
0.83479786286945	293.651720852626
0.799652582724901	288.856392305832
0.74782991783426	281.680376959777
0.698040086547329	275.278064659656
0.648248261817231	269.390129408822
0.598222685941401	263.607961508542
0.548613301129923	257.165849693168
0.501570035838121	243.662686194025
0.442837140078853	192.556328924162
0.388848200498919	164.48364122748
0.353252083247781	155.205239793715
0.304110738957421	145.257352455754
0.249662450268577	136.263541101862
0.200017700195313	128.818678489743
0.150200650021948	121.560115097936
0.100223574618365	113.881509831914
