Relative Pressure (p/p°)	Quantity Adsorbed (cm³/g STP)
0.00995125748455008	139.242386280869
0.0193126007616809	148.598335927287
0.0315081134472209	156.034341791186
0.0388053919029815	159.567544851705
0.0499032910870143	163.948491286945
0.0598581668061842	167.38144463285
0.0695700578385673	170.370759110661
0.0799962630558076	173.461766261956
0.0900173950195313	176.219804040613
0.100075988769531	178.80027649751
0.14718880185134	190.270642692203
0.2009871802155	203.067219974564
0.25118617316471	215.369844519839
0.301131961338634	228.861465638012
0.351118203008967	244.527439840778
0.40061034876338	263.37757124321
0.450862876392797	286.481614729012
0.502375816199583	311.218656471828
0.553703292152143	330.251862413134
0.602180201729902	341.222064387007
0.650733075623199	348.685138641465
0.701015353101726	355.958466293
0.751786336881011	364.392475303557
0.802391087931472	374.07575039371
0.852649015111703	384.478263010566
0.902787943097165	395.050207763664
0.95217794615087	407.376620669996
0.987147960150193	433.111590520267
0.994796343606067	458.985317147463
0.996784481768548	495.068232227074
0.996784481768548	495.068232227074
0.989923768893525	460.30517861921
0.947256057739807	418.698253551518
0.886667427067533	406.22699716963
0.834787645971545	398.006965230268
0.799677699337024	391.893565234006
0.747859007806143	383.023830435534
0.698049729428404	375.353207468798
0.648566393439974	368.358160207298
0.598179404839444	361.514408304088
0.548743836949665	354.044888467821
0.500764486641525	339.347684807084
0.451491495820173	307.907676997834
0.396639727088083	263.859524514666
0.342421200964096	243.106389998135
0.287293346810348	226.68
0.25066800454128	217.05189831752
0.199552848030997	204.941361926146
0.150218452343557	193.643269927877
0.100172451901032	181.905087222888
